DateTime,PM25_ug_m3,ET_C,RH_pct,WS_km_h,WD_deg,Location
2026/06/09 14:00,0,17.921,30.058,7.562,283.48,Airdrie
2026/06/09 13:00,0.002,17.65,31.157,4.655,259.107,Airdrie
2026/06/07 14:00,0.376,10.411,54.017,8.753,195.69,Airdrie
2026/06/07 19:00,0.572,9.435,74.285,11.34,304.904,Airdrie
2026/06/07 11:00,0.594,10.96,53.811,10.462,348.485,Airdrie
2026/06/07 20:00,0.613,9.52,78.013,9.004,251.709,Airdrie
2026/06/07 13:00,0.626,9.104,66.951,12.629,262.692,Airdrie
2026/06/07 15:00,0.642,12.299,43.612,9.199,216.464,Airdrie
2026/06/07 10:00,0.674,10.117,63.72,12.329,343.358,Airdrie
2026/06/07 12:00,0.724,8.928,67.599,16.336,288.798,Airdrie
2026/06/16 21:00,0.764,12.464,47.851,13.282,295.656,Airdrie
2026/06/07 22:00,0.766,10.794,45.95,7.441,291.735,Calgary Northwest
2026/06/16 22:00,0.77,10.989,56.703,12.628,304.333,Airdrie
2026/06/07 09:00,0.783,9.08,77.564,12.58,313.56,Airdrie
2026/06/05 20:00,0.788,11.338,45.933,22.521,240.656,Airdrie
2026/06/07 10:00,0.815,11.543,45.835,3.438,318.005,Calgary Northwest
2026/06/16 23:00,0.835,11.673,55.003,12.535,328.843,Airdrie
2026/06/07 15:00,0.841,11.826,45.145,3.209,207.553,Calgary Southeast
2026/06/10 15:00,0.844,12.088,61.266,17.74,312.174,Calgary Northwest
2026/06/16 20:00,0.844,12.463,48.21,17.682,313.338,Airdrie
2026/06/08 02:00,0.863,7.282,99.831,4.28,212.804,Airdrie
2026/06/07 22:00,0.871,8.607,96.486,7.908,7.236,Airdrie
2026/06/09 20:00,0.876,14.863,47.933,11.559,331.307,Calgary Northwest
2026/06/10 16:00,0.878,13.759,53.142,21.722,322.666,Calgary Northwest
2026/06/08 03:00,0.9,6.936,99.811,3.048,194.18,Airdrie
2026/06/07 10:00,0.933,12.406,36.683,7.812,329.588,Calgary Central
2026/06/08 01:00,0.933,10.446,46.499,2.936,312.509,Calgary Northwest
2026/06/28 16:00,0.947,13.653,91.553,15.408,338.054,Calgary Northwest
2026/06/07 21:00,0.948,9.296,84.862,5.366,297.33,Airdrie
2026/06/16 19:00,0.952,13.026,58.485,19.69,334.422,Airdrie
2026/06/09 20:00,0.966,15.483,39.757,18.61,333.531,Calgary Central
2026/06/05 21:00,0.972,11.183,42.27,20.785,244.174,Airdrie
2026/06/07 18:00,0.976,8.408,89.468,9.293,335.45,Airdrie
2026/06/07 11:00,0.984,11.748,48.753,4.818,31.203,Calgary Northwest
2026/06/02 05:00,0.994,7.421,81.964,22.109,321.919,Calgary Northwest
2026/06/08 07:00,1.001,10.192,58.688,16.867,259.662,Airdrie
2026/06/07 11:00,1.005,13.006,34.13,2.929,4.565,Calgary Central
2026/06/28 14:00,1.009,12.451,99.797,26.837,337.248,Airdrie
2026/06/07 09:00,1.018,10.156,52.883,6.295,328.863,Calgary Northwest
2026/06/07 01:00,1.021,5.04,99.9,6.63,221.463,Airdrie
2026/06/07 08:00,1.024,7.738,89.794,14.044,331.02,Airdrie
2026/06/10 15:00,1.028,12.818,64.957,27.333,330.413,Airdrie
2026/06/09 22:00,1.031,13.019,53.2,6.985,298.427,Calgary Northwest
2026/06/16 18:00,1.031,11.093,86.27,23.901,343.433,Airdrie
2026/06/07 15:00,1.032,11.43,47.876,3.351,149.828,Calgary Central
2026/06/17 00:00,1.033,11.367,59.063,14.364,324.392,Airdrie
2026/06/09 21:00,1.037,13.429,52.426,5.076,284.287,Calgary Northwest
